Item,Make,Model,Part Number,Qty,Notes
Soil Moisture Sensor,Acclima,TDR-315H,ACC-TDR-315H.5,1,5m cable
Connector,TE Connectivity,"M8,SCREW, MALE,S,UNSHIELD,3P",T4011008031-000,1,
